,powerConsumption
0,1.6842379753685397
1,1.5920334211300802
2,1.6887882775995233
3,1.823933620992422
4,1.624008419610721
5,1.7777745833014433
6,1.7292863565252965
7,1.7561531965505108
8,1.7495356892093976
9,1.8573360957957679
10,1.7600048317502444
11,1.5874434432491857
12,1.8040018658123989
13,1.9302266833158324
14,1.8794474212033934
15,1.8908387080999758
16,1.6634480537054694
17,1.6193942707533533
18,1.6006009637908813
19,1.716555345505039
20,1.604536254857463
21,1.8319282278051858
22,1.664354435637268
23,1.8444438730184578
24,1.7231964139299365
25,1.8885286887556538
26,1.6842379753685397
27,1.5920334211300802
28,1.6887882775995233
29,1.823933620992422
30,1.624008419610721
31,1.7777745833014433
32,1.7292863565252965
33,1.7561531965505108
34,1.7495356892093976
35,1.8573360957957679
36,1.7600048317502444
37,1.5874434432491857
38,1.8040018658123989
39,1.9302266833158324
40,1.8794474212033934
41,1.8908387080999758
42,1.6634480537054694
43,1.6193942707533533
44,1.6006009637908813
45,1.716555345505039
46,1.604536254857463
47,1.8319282278051858
48,1.664354435637268
49,1.8444438730184578
50,1.7231964139299365
51,1.8885286887556538
52,1.6842379753685397
53,1.5920334211300802
54,1.6887882775995233
55,1.823933620992422
56,1.624008419610721
57,1.7777745833014433
58,1.7292863565252965
59,1.7561531965505108
60,1.7495356892093976
61,1.8573360957957679
62,1.7600048317502444
63,1.5874434432491857
64,1.8040018658123989
65,1.9302266833158324
66,1.8794474212033934
67,1.8908387080999758
68,1.6634480537054694
69,1.6193942707533533
70,1.6006009637908813
71,1.716555345505039
72,1.604536254857463
73,1.8319282278051858
74,1.664354435637268
75,1.8444438730184578
76,1.7231964139299365
77,1.8885286887556538
78,1.6842379753685397
79,1.5920334211300802
80,1.6887882775995233
81,1.823933620992422
82,1.624008419610721
83,1.7777745833014433
84,1.7292863565252965
85,1.7561531965505108
86,1.7495356892093976
87,1.8573360957957679
88,1.7600048317502444
89,1.5874434432491857
90,1.8040018658123989
91,1.9302266833158324
92,1.8794474212033934
93,1.8908387080999758
94,1.6634480537054694
95,1.6193942707533533
96,1.6006009637908813
97,1.716555345505039
98,1.604536254857463
99,1.8319282278051858
100,1.664354435637268
101,1.8444438730184578
102,1.7231964139299365
103,1.8885286887556538
104,1.6842379753685397
105,1.5920334211300802
106,1.6887882775995233
107,1.823933620992422
108,1.624008419610721
109,1.7777745833014433
110,1.7292863565252965
111,1.7561531965505108
112,1.7495356892093976
113,1.8573360957957679
114,1.7600048317502444
115,1.5874434432491857
116,1.8040018658123989
117,1.9302266833158324
118,1.8794474212033934
119,1.8908387080999758
120,1.6634480537054694
121,1.6193942707533533
122,1.6006009637908813
123,1.716555345505039
124,1.604536254857463
125,1.8319282278051858
126,1.664354435637268
127,1.8444438730184578
128,1.7231964139299365
129,1.8885286887556538
130,1.6842379753685397
131,1.5920334211300802
132,1.6887882775995233
133,1.823933620992422
134,1.624008419610721
135,1.7777745833014433
136,1.7292863565252965
137,1.7561531965505108
138,1.7495356892093976
139,1.8573360957957679
140,1.7600048317502444
141,1.5874434432491857
142,1.8040018658123989
143,1.9302266833158324
144,1.8794474212033934
145,1.8908387080999758
146,1.6634480537054694
147,1.6193942707533533
148,1.6006009637908813
149,1.716555345505039
150,1.604536254857463
151,1.8319282278051858
152,1.664354435637268
153,1.8444438730184578
154,1.7231964139299365
155,1.8885286887556538
156,1.6842379753685397
157,1.5920334211300802
158,1.6887882775995233
159,1.823933620992422
160,1.624008419610721
161,1.7777745833014433
162,1.7292863565252965
163,1.7561531965505108
164,1.7495356892093976
165,1.8573360957957679
166,1.7600048317502444
167,1.5874434432491857
168,1.8040018658123989
169,1.9302266833158324
170,1.8794474212033934
171,1.8908387080999758
